name,source,gender,wikidata,type
"Aachener Straße",wikidata,,Q1017,way
Aidenbachstraße,wikidata,,Q254501,way
"Allgäuer Straße",wikidata,,Q169276,way
"Am Bavariapark",wikidata,,Q707669,relation+way
Ammerlandstraße,wikidata,,Q19834503,way
"Ansbacher Straße",wikidata,,Q14859,way
"Appenzeller Straße",wikidata,,Q67125,way
"Argelsrieder Straße",wikidata,,Q105838436,way
Arnulfsteg,wikidata,,Q697813,way
Asamstraße,wikidata,,Q778568,way
"Bamberger Straße",wikidata,,Q3936,way
"Barmer Straße",wikidata,,Q153974,way
"Basler Straße",wikidata,,Q78,way
Bavariaring,wikidata,,Q707669,way
Bavariastraße,wikidata,,Q707669,way
Bayernplatz,wikidata,,Q980,way
Belfortstraße,wikidata,,Q171545,way
Bellinzonastraße,wikidata,,Q64044,way
"Berner Straße",wikidata,,Q70,way
"Böcksteiner Straße",wikidata,,Q973185,way
"Bonner Platz",wikidata,,Q586,way
"Bonner Straße",wikidata,,Q586,way
"Boschetsrieder Straße",wikidata,,Q51915939,way
"Bozener Straße",wikidata,,Q6526,way
"Bregenzer Straße",wikidata,,Q1737,way
"Brienner Straße",wikidata,,Q498869,way
"Buchendorfer Straße",wikidata,,Q998274,way
"Buchloer Straße",wikidata,,Q265110,way
"Dachauer Straße",wikidata,,Q573699,way
"Deidesheimer Straße",wikidata,,Q22951,way
Dolomitenstraße,wikidata,,Q1283,way
"Düsseldorfer Straße",wikidata,,Q1718,way
"Eichstätter Straße",wikidata,,Q252772,way
"Eisenacher Straße",wikidata,,Q7070,way
"Elsässer Straße",wikidata,,Q1142,way
"Engadiner Straße",wikidata,,Q22883,way
Fallmerayerstraße,wikidata,,Q88663044,way
"Feldafinger Platz",wikidata,,Q507424,way
"Flintsbacher Straße",wikidata,,Q532824,way
"Föhringer Ring",wikidata,,Q267408,way
Forst-Kasten-Allee,wikidata,,Q32012250,way
"Forstenrieder Allee",wikidata,,Q51922314,way
"Frankfurter Ring",wikidata,,Q1794,way
"Freiburger Platz",wikidata,,Q2833,way
"Freisinger Landstraße",wikidata,,Q6998,way
"Friedberger Straße",wikidata,,Q507194,way
"Friedenheimer Straße",wikidata,,Q1456665,way
"Fürstenrieder Straße",wikidata,,Q567568,way
Gatterburgstraße,wikidata,,Q1527640,way
"Gautinger Straße",wikidata,,Q74057,way
"Geisenbrunner Straße",wikidata,,Q1498883,way
"Geisenfelder Straße",wikidata,,Q259795,way
"Gerner Brücke",wikidata,,Q1514339,way
