Agnes-Bernauer-Platz;159179302
Agnes-Bernauer-Straße;4043489;4901752;8058986;17899693;30578265;56197309;56197697;56542044;56542063;70219496;128869597;261894040;343008951;343008956;343008966;343008967;343008968;343008969;343008970;343008971;343008972;432534871;432534872;459331191
Agricolaplatz;4271290
Agricolastraße;4218701;4271289;69688189;152273429;172200030;426277800;426277801
Aindorferstraße;4585970;4585971;5079717;5081024;63094057;159179304
Alblstraße;4218695
Aldegreverstraße;159179307
Alpenveilchenstraße;35095323
Altmannstraße;4515580;4519701;158803933
Am Laimer Anger;4218708
Ammerseestraße;4075146;318893831;318893832;318893833;319483718;363227837
Barmer Straße;4497104
Baudererstraße;16943294
Becherstraße;4586005
Behamstraße;159179309
Berchemstraße;4585935;4885797
Brantstraße;4515598
Brosamerstraße;5080876
Burgkmairstraße;4515581;4515582;4885793;777580437
Byecherstraße;16943298
Böcksteiner Straße;16802054
Camerloherstraße;4515588;5081108;8351859
Desingweg;38078509;38078510
Dichtlstraße;16943255
Diesterwegstraße;4537441
Dreyerstraße;35135142
Droste-Hülshoff-Straße;178651079;851117647
Eckermannstraße;16943282
Egetterstraße;25777548
Eichstätter Straße;129676398
Elsenheimerstraße;4009458;4043488;8058985;51734648;62334750;71360465;81976285;172485422
Endelhauserstraße;4537283;81976798;81976800
Eringerstraße;16943145;67379640
Ettenhueberstraße;4271287;111448248;111448258
Fachnerstraße;4515579;4515583;4885791;4885792;154945137
Fischartstraße;4585934
Flantinstraße;5079689
Fleckhammerstraße;5085894
Flintsbacher Straße;4537297
Flotowstraße;4585903;4885798
Freiburger Platz;4218717
Friedberger Straße;16944259
Friedenheimer Brücke;4043486;51734647;55795330;61738278;152062771;316110464;426957011;438950423
Friedenheimer Straße;4079075;56197311;56542039;152276372;152276374;152277273;241720920;366209677;497390606
Fröbelplatz;159179321;159179323;432153683
Fürstenrieder Straße;8131900;25549813;25549814;25549816;63094056;63104708;70219497;128869598;134693373;134693374;153024183;153024184;248852329;316110466;319483720;346662347;346662348;346662349;346662350;346662351;346662352;387234728;387234729;393388234;475084461;479885264;479885267
Gaishoferstraße;5079870
Gatterburgstraße;4218699
Geigerstraße;16943302
Geisenfelder Straße;16944273
Genovevaweg;4218694
Georg-Lotter-Weg;26164992;449633120
Geyerspergerstraße;4218700
Geßlerstraße;16943300
Gottfried-Koelwel-Weg;84789456
Gotthardstraße;4585941;4886833;30578368;38077003;69688181;153184477;220851263;220851264;272455482;272455485;343008978;594740424;686292119
Guido-Schneble-Straße;5079653;5081050;63954836;435817314
Gunzenlehstraße;5085824;5085831;189696135;261352051;261352052;416322074
Gutzkowstraße;4585898
Hans-Thonauer-Straße;4497101;81976455;438950424;608129578
Hartelstraße;16943249
Haslangstraße;16943311
Haunerstraße;16944255
Hauzenberger Straße;159179329
Hechenwanger Weg;178966550
Heigenmooserstraße;4586070
Heinrich-Goebel-Straße;4586006
Heinrich-Heine-Straße;4515594
Helmpertstraße;16799626;16799764;386701461
Hogenbergplatz;4537440;8148414
Hogenbergstraße;4537439;4586051
Hohenwarter Straße;4586007
Horwerkstraße;4586040
Hufnagelstraße;81964906
Högerstraße;5079666
Hönigschmidplatz;35094666
Hönlestraße;16943223
Hörkherstraße;4586008
Ida-Schumacher-Weg;17247500
Ilmmünsterstraße;4585949;4885796
Ilse-Weber-Straße;4537442
Inderstorferstraße;5079661
Isbertstraße;16943267
Joergstraße;5079650;538867433
Johannes-Scharrer-Straße;4218702
Josef-Schick-Straße;159179334
Junkerstraße;16943285
Justinus-Kerner-Straße;4537384
Kiem-Pauli-Weg;83399647
Kirchmairstraße;4586063;237418954
Kirchwaldstraße;4537383
Käpflstraße;5080996;420012960
Kärntner Platz;158803943
Käthe-Bauer-Weg;178651083;851117646
Laimer Platz;76733992
Landsberger Straße;4586025;9864383;30121105;30121108;30121109;30121119;30121120;42558326;54062645;56196605;56197310;56197312;56542066;61738270;71360463;71360466;80880225;95588661;95588662;106085113;133390633;133390634;134693375;134693376;134693377;141427549;141427552;141427556;141429261;141429262;141429264;141429265;141429267;143433518;143433533;148680007;148680009;151558843;152062776;152062777;153024186;153024187;153024201;153024209;190362036;190362039;190362042;203546067;208438186;211432911;211464629;211464638;211466119;247535594;261467939;261467940;290397694;307301906;316110468;316110469;316110470;316110471;316110472;316110473;316110475;316110476;316110477;316110478;316110479;316110480;316110482;316110488;342811198;342811199;342811200;342863164;342863165;342863166;342863169;342863185;342896141;344303344;362961425;371698111;383426476;404386582;411636745;432153684;438950425;438965300
Lanzstraße;17247873
Lautensackstraße;4043491;4497088;8132889;102840329;152976882;152976883;426955960;438950426
Lechfeldstraße;5085832
Leibnizstraße;4585891;4585892;392154411
Lina-Meittinger-Straße;16944265
Ludlstraße;587599813
Ludwig-Richter-Straße;159179338;170807565
Lutzstraße;16799486
Maria-Birnbaum-Straße;4515610
Mathunistraße;4218712;4218713
Maxstadtstraße;5079663;261750731
Meister-Mathis-Weg;85320304;158803946
Mergentheimer Straße;16799889
Mitterhoferstraße;159179341
Murtalstraße;16801926
Neubeuerner Straße;4537294;83662279;497349858
Neuburgerstraße;16798351
Nördlinger Straße;4497105;81976457
Ofener Straße;16943352
Ossietzkystraße;159179342
Ostendorferweg;159179343
Perhamerstraße;16798350;118682364;118682365;426277802;706391878
Perkhoferstraße;172593388
Pfaffenhofener Platz;158803948
Pfarrer-Endres-Weg;30803854
Pronnerplatz;4271294
Pöhlmannstraße;16799706
Pörtschacher Straße;16801360
Queristraße;17248705;223712311
Radstädter Straße;16801454
Rapotostraße;159179344
Rappstraße;4271286
Rattenhuberstraße;4515585
Raublinger Straße;4537295
Rechpacherstraße;16943297
Reindlstraße;5079664;5085887
Reithmannstraße;4537385
Reutterstraße;4218698;4271284;16943253;159179345;159179346
Riegerhofstraße;35134707;422789263;422789264
Riegerhofweg;4218710
Rilkestraße;4585902
Ronpeckhstraße;4271292
Rushaimerstraße;16943312
Saherrstraße;5079677;5079852;5085885;24952474
Sandrartstraße;4586041;4586042;8149338;144559510
Sankt-Ulrich-Straße;35104333
Schedelstraße;159179347
Schifferlstraße;16800467
Schlangenwegerl;30673310
Schrobenhausener Straße;4515609
Schrottstraße;159179348
Schulmeierweg;312037058
Schäufeleinstraße;152976884
Seehoferstraße;4497107
Senftenauerstraße;63095006;94694440;280294401;293561751;293561752;293561753;428657479;878579158
Siglstraße;4515608;8147776;56542061;97857349;452205999
Stadtlohner Straße;16799967
Stegener Weg;4885823;178966547;293561755
Steinbeisplatz;4537298;4885795
Straubinger Straße;159179354
Stroblstraße;4218723;8351861;243126331;424714808;424714809
